Anon01 ,crsid@cam.ac.uk ,2 ,X05 ,V02 ,X07 ,V03  ,X11 ,B06  ,B08  ,3B   ,49K ,49R
Anon02 ,crsid@cam.ac.uk ,1 ,61F ,63F ,61E ,61F  ,61F ,61F  ,61F  ,61F  ,61F ,61F
Anon03 ,crsid@cam.ac.uk ,4 ,49Q ,AB1 ,S14 ,AB4  ,A06 ,W13  ,WC1  ,WC2  ,WC3 ,W08
Anon04 ,crsid@cam.ac.uk ,4 ,HR4 ,HR1 ,HR3 ,OX1  ,OX2 ,OX3  ,OX4  ,OX5  ,62J ,62K
Anon05 ,crsid@cam.ac.uk ,2 ,W09 ,W10 ,W04 ,F1A  ,F1B ,F1C  ,S04  ,S08  ,X02 ,X05
Anon06 ,crsid@cam.ac.uk ,1 ,61E ,62E ,63F ,62B  ,63G ,63J  ,62H  ,62D  ,63D ,63C
Anon07 ,crsid@cam.ac.uk ,3 ,AB2 ,AB4 ,A05 ,49D  ,49C ,49Q  ,OX1  ,OX3  ,OX4 ,OX5
Anon08 ,crsid@cam.ac.uk ,4 ,B07 ,B08 ,B03 ,S05  ,S08 ,S01  ,XO8  ,X02  ,X15 ,X05
Anon09 ,crsid@cam.ac.uk ,2 ,63A ,61E ,X06 ,F1C  ,F2C ,WC1  ,W03  ,62J  ,B05 ,AB2
Anon10 ,crsid@cam.ac.uk ,4 ,HR3 ,HR4 ,HR1 ,HR5  ,OX3 ,OX5  ,OX1  ,OX4  ,OX2 ,WC1
Anon11 ,crsid@cam.ac.uk ,4 ,W07 ,W09 ,W10 ,W12  ,W11 ,S08  ,V06  ,X05  ,XO8 ,W08
Anon12 ,crsid@cam.ac.uk ,2 ,62J ,63J ,61F ,63F  ,X07 ,X14  ,XO8  ,X12  ,B06 ,49K
Anon13 ,crsid@cam.ac.uk ,3 ,XO8 ,X14 ,X07 ,X12  ,49E ,3B   ,3G   ,49K  ,S08 ,34D
Anon14 ,crsid@cam.ac.uk ,0 ,B05 ,B04 ,B06 ,S13  ,S10 ,S09  ,S11  ,X01  ,X12 ,X10
Anon15 ,crsid@cam.ac.uk ,1 ,49H ,49E ,49L ,49T  ,49D ,49M  ,49S  ,49K  ,49C ,49Q
Anon16 ,crsid@cam.ac.uk ,2 ,63B ,61G ,62G ,63G  ,62H ,62C  ,62D  ,63E  ,63K ,63D
Anon17 ,crsid@cam.ac.uk ,2 ,49D ,49D ,49D ,3G   ,49L ,3F   ,49C  ,49E  ,49E ,34G
Anon18 ,crsid@cam.ac.uk ,3 ,OX3 ,HR3 ,X15 ,X13  ,X07 ,V02  ,V05  ,V03  ,V04 ,B08
Anon19 ,crsid@cam.ac.uk ,3 ,X01 ,X04 ,X03 ,XO9  ,X10 ,X11  ,X12  ,W03  ,W02 ,WC1
Anon20 ,crsid@cam.ac.uk ,2 ,49N ,49R ,49S ,49U  ,49F ,49K  ,49J  ,49M  ,3D  ,3A
Anon21 ,crsid@cam.ac.uk ,4 ,3B  ,3A  ,3C  ,3D   ,3E  ,3F   ,3G   ,62K  ,61K ,63K
