Anon01  ,crsid@cam.ac.uk  ,P2 ,#1  ,X05  ,58b69d9b460b87a934e8c69006e47c7cbaab78838a725320ccce1fab9434d970
Anon02  ,crsid@cam.ac.uk  ,P1 ,#2  ,63F  ,fbd347a643353c22cbf2c14c9c7f8ec032b00ac994fa5687b640d9dacab25a52
Anon03  ,crsid@cam.ac.uk  ,P4 ,#1  ,49Q  ,113ab4016907f01c1ca0b9d62db947efcfa533d5328cdf5fe0d1fa1eb6269c60
Anon04  ,crsid@cam.ac.uk  ,P4 ,#5  ,OX2  ,2f9176efd200acf6b24ead435f86b633166e9063db591ec799c075e54908c4e5
Anon05  ,crsid@cam.ac.uk  ,P2 ,#1  ,W09  ,2143c0adf4a57e2f63fc883c586846cabf7a2e71a8407cb0cf36c62aaba4f63d
Anon06  ,crsid@cam.ac.uk  ,P1 ,#2  ,62E  ,9e01d1f4561c1f567c52ca6df84393cd38fbdc4e02bda7e91d6ccbc2c5775541
Anon07  ,crsid@cam.ac.uk  ,P3 ,#1  ,AB2  ,91977fb1826b2ee792a6c1044d6324f3e83dfa62714fff9a2896b4ca7b1b9357
Anon08  ,crsid@cam.ac.uk  ,P4 ,#3  ,B03  ,69e0d1e7753a1a7302ff394603c52be1251e39c34e149110b62fc746d8bd520e
Anon09  ,crsid@cam.ac.uk  ,P2 ,#1  ,63A  ,281ca1477ca0e0cb11d1fb990e50c0cfde4fd20a9d660978ec5a1a8301fc1d14
Anon10  ,crsid@cam.ac.uk  ,P4 ,#1  ,HR3  ,6cd2b52c9d08a126c586e41bb29c4dd6fa5d27d02d58ea3827abe6eba78b4d15
Anon11  ,crsid@cam.ac.uk  ,P4 ,#1  ,W07  ,a16056b901b963634cdd42ae3b64c116af60bc0b27630c6b0739c6a93b03ee27
Anon12  ,crsid@cam.ac.uk  ,P2 ,#1  ,62J  ,27ec8c40cbf38c7c817a706cf112e990a4fcf896ea73bbf2e1cfe9a9ecff3c64
Anon13  ,crsid@cam.ac.uk  ,P3 ,#2  ,X14  ,f33f2a2e31d709f8c5351b6adf0f559519fb4c4499927ea3c070b093911153cb
Anon14  ,crsid@cam.ac.uk  ,P0 ,#1  ,B05  ,c7bd3fd4dc918bb14e44ecaa99b1f46553986ede7a3419d78242aac7988d7999
Anon15  ,crsid@cam.ac.uk  ,P1 ,#1  ,49H  ,64d50b9a89735b48a0a73c4de7db598f8c268e8295861c8172e9b055ca69227c
Anon16  ,crsid@cam.ac.uk  ,P2 ,#1  ,63B  ,0ce7845a8400d0387731c90595db12b6b7a8e621496422d9e49858d687090886
Anon17  ,crsid@cam.ac.uk  ,P2 ,#1  ,49D  ,d48703efdc3426f23eeeb396d75c5a838c1be748e2616628596fe157ce10ec1e
Anon18  ,crsid@cam.ac.uk  ,P3 ,#3  ,X15  ,19a068c505b9a1fc2c64866f8be83a0e9b785c003f3a964ed55b55d0a329b93c
Anon19  ,crsid@cam.ac.uk  ,P3 ,#1  ,X01  ,3d405cab9d3daee0145b1a6dc3e3db81f5b0cd5495e70c7a1873d698755c2a50
Anon20  ,crsid@cam.ac.uk  ,P2 ,#1  ,49N  ,c6ea281e1d275edaf72e203cf2b31848ec66b54724c64d4f09938466db48aee4
Anon21  ,crsid@cam.ac.uk  ,P4 ,#1  ,3B   ,99a0219625468dc5697c4502ba00b3fdd7af287e59e385d64403495f16b87a18
Anon22  ,crsid@cam.ac.uk  ,P2 ,#1  ,34C  ,04d4ea2e590e0971d6871df8bd1fb67c5a3042b510ad09ac698e9ed22beb4888
Anon23  ,crsid@gmail.com  ,P2 ,#1  ,AB1  ,d16c83eccf2b0d233f8f872e1785d274f1f6a78d94ca1be9beaa3f7d72563398
Anon24  ,crsid@cam.ac.uk  ,P4 ,#1  ,HR4  ,8b46b88a476b8c6dc59e3ef005a2ec7e07b54abfc0ad2d7ccaf2209574e448fa
Anon25  ,crsid@cam.ac.uk  ,P1 ,#1  ,WC1  ,26aa0504ae633d7011e8a6984b1dff0c42975afe1849cf20bf580593bf3b5830
Anon26  ,crsid@cam.ac.uk  ,P1 ,#1  ,RRC  ,2f5b8a76151f6165f151c622de5534e112b97edc948cad18f8732ef2fda69d67
Anon27  ,crsid@cam.ac.uk  ,P2 ,#1  ,61G  ,59bf50a489e79e56213e189ac3b029c4b98d0f306a6c7fffb08b1e7ab33ca737
Anon28  ,crsid@cam.ac.uk  ,P1 ,#3  ,49J  ,c1426d570dd7e64b38d5e1a1c1ba64b81f03c5e38ef768f0594e8f6bf727e409
Anon29  ,crsid@gmail.com  ,P2 ,#1  ,49R  ,ae8adb2a6dc4159788d82983baf8df5f9aab9af4b3db68b50fe41f56f4e3ad4d
